market,arrival_date,price
Ahmedabad,01-01-2016,444
Ranchi (CC),01-01-2016,
Vijayawada,01-01-2016,407
Vizag,01-01-2016,415
W.Godavari,01-01-2016,407
Warangal,01-01-2016,408
Allahabad (CC),01-01-2016,428
Bhopal,01-01-2016,430
Hospet,01-01-2016,380
Indore (CC),01-01-2016,410
Jabalpur,01-01-2016,419
Kanpur (CC),01-01-2016,452
Kolkata (WB),01-01-2016,445
Luknow (CC),01-01-2016,457
Raipur,01-01-2016,425
Varanasi (CC),01-01-2016,453
Pune,01-01-2016,444
Patna,01-01-2016,
Surat,01-01-2016,
Nagpur,01-01-2016,406
Ajmer,01-01-2016,405
Asansole,01-01-2016,
Barwala,01-01-2016,408
Bengaluru (CC),01-01-2016,422
Brahmapur (OD),01-01-2016,
Namakkal,01-01-2016,402
Chennai (CC),01-01-2016,428
Chittoor,01-01-2016,421
Burdwan (CC),01-01-2016,
E.Godavari,01-01-2016,407
Hyderabad,01-01-2016,405
Ludhiana,01-01-2016,405
Midnapur (KOL),01-01-2016,
Mumbai (CC),01-01-2016,449
Muzaffurpur (CC),01-01-2016,
Mysuru,01-01-2016,422
Delhi (CC),01-01-2016,425
Mumbai (CC),02-01-2016,425
Midnapur (KOL),02-01-2016,
Ludhiana,02-01-2016,386
Hyderabad,02-01-2016,385
E.Godavari,02-01-2016,390
Delhi (CC),02-01-2016,405
Ajmer,02-01-2016,380
Chennai (CC),02-01-2016,425
Burdwan (CC),02-01-2016,
Brahmapur (OD),02-01-2016,
Bengaluru (CC),02-01-2016,410
Barwala,02-01-2016,388
Asansole,02-01-2016,
Muzaffurpur (CC),02-01-2016,
Chittoor,02-01-2016,418
Mysuru,02-01-2016,405
Warangal,02-01-2016,388
Namakkal,02-01-2016,400
Ahmedabad,02-01-2016,415
Luknow (CC),02-01-2016,457
Kolkata (WB),02-01-2016,427
Kanpur (CC),02-01-2016,424
Jabalpur,02-01-2016,403
Indore (CC),02-01-2016,400
Hospet,02-01-2016,380
Bhopal,02-01-2016,405
Allahabad (CC),02-01-2016,414
W.Godavari,02-01-2016,390
Vizag,02-01-2016,405
Vijayawada,02-01-2016,390
Ranchi (CC),02-01-2016,
Pune,02-01-2016,430
Patna,02-01-2016,
Nagpur,02-01-2016,390
Varanasi (CC),02-01-2016,440
Surat,02-01-2016,
Raipur,02-01-2016,418
Muzaffurpur (CC),03-01-2016,
Mumbai (CC),03-01-2016,335
Midnapur (KOL),03-01-2016,
Ludhiana,03-01-2016,293
Hyderabad,03-01-2016,300
E.Godavari,03-01-2016,300
Delhi (CC),03-01-2016,310
Surat,03-01-2016,
Burdwan (CC),03-01-2016,
Brahmapur (OD),03-01-2016,
Bengaluru (CC),03-01-2016,320
Barwala,03-01-2016,290
Asansole,03-01-2016,
Ajmer,03-01-2016,284
Ahmedabad,03-01-2016,325
Mysuru,03-01-2016,330
Chennai (CC),03-01-2016,335
Nagpur,03-01-2016,297
Patna,03-01-2016,
Raipur,03-01-2016,310
Luknow (CC),03-01-2016,350
Kolkata (WB),03-01-2016,335
Kanpur (CC),03-01-2016,333
Jabalpur,03-01-2016,305
Indore (CC),03-01-2016,325
Hospet,03-01-2016,285
Bhopal,03-01-2016,315
Allahabad (CC),03-01-2016,324
Warangal,03-01-2016,303
W.Godavari,03-01-2016,300
Vizag,03-01-2016,310
Vijayawada,03-01-2016,300
Ranchi (CC),03-01-2016,
Pune,03-01-2016,330
Varanasi (CC),03-01-2016,337
Namakkal,03-01-2016,320
Chittoor,03-01-2016,328
Varanasi (CC),04-01-2016,350
Warangal,04-01-2016,323
W.Godavari,04-01-2016,318
Vizag,04-01-2016,326
Vijayawada,04-01-2016,318
Ranchi (CC),04-01-2016,
Pune,04-01-2016,345
Patna,04-01-2016,
Namakkal,04-01-2016,350
Nagpur,04-01-2016,308
Mysuru,04-01-2016,355
Muzaffurpur (CC),04-01-2016,
Mumbai (CC),04-01-2016,350
Allahabad (CC),04-01-2016,328
Midnapur (KOL),04-01-2016,
Hyderabad,04-01-2016,320
E.Godavari,04-01-2016,318
Delhi (CC),04-01-2016,306
Chittoor,04-01-2016,348
Chennai (CC),04-01-2016,355
Burdwan (CC),04-01-2016,
Brahmapur (OD),04-01-2016,
Bengaluru (CC),04-01-2016,355
Barwala,04-01-2016,305
Asansole,04-01-2016,
Ajmer,04-01-2016,287
Ahmedabad,04-01-2016,335
Ludhiana,04-01-2016,293
Bhopal,04-01-2016,328
Surat,04-01-2016,
Raipur,04-01-2016,330
Luknow (CC),04-01-2016,350
Kolkata (WB),04-01-2016,358
Kanpur (CC),04-01-2016,348
Jabalpur,04-01-2016,327
Indore (CC),04-01-2016,315
Hospet,04-01-2016,320
Vijayawada,05-01-2016,285
Mysuru,05-01-2016,327
Nagpur,05-01-2016,300
Namakkal,05-01-2016,315
Patna,05-01-2016,
Pune,05-01-2016,325
Luknow (CC),05-01-2016,333
Surat,05-01-2016,
Raipur,05-01-2016,316
Ranchi (CC),05-01-2016,
Kolkata (WB),05-01-2016,310
Kanpur (CC),05-01-2016,333
Varanasi (CC),05-01-2016,333
Mumbai (CC),05-01-2016,331
E.Godavari,05-01-2016,285
Ludhiana,05-01-2016,271
Hyderabad,05-01-2016,296
Jabalpur,05-01-2016,308
Delhi (CC),05-01-2016,288
Chittoor,05-01-2016,323
Chennai (CC),05-01-2016,330
Burdwan (CC),05-01-2016,
Brahmapur (OD),05-01-2016,
Bengaluru (CC),05-01-2016,330
Barwala,05-01-2016,285
Asansole,05-01-2016,
Ajmer,05-01-2016,290
Ahmedabad,05-01-2016,336
Midnapur (KOL),05-01-2016,
Indore (CC),05-01-2016,300
Muzaffurpur (CC),05-01-2016,
Allahabad (CC),05-01-2016,314
Vizag,05-01-2016,292
W.Godavari,05-01-2016,285
Warangal,05-01-2016,299
Bhopal,05-01-2016,310
Hospet,05-01-2016,295
Warangal,06-01-2016,350
Allahabad (CC),06-01-2016,371
Bhopal,06-01-2016,365
Hospet,06-01-2016,360
Indore (CC),06-01-2016,342
Jabalpur,06-01-2016,366
Luknow (CC),06-01-2016,380
Kolkata (WB),06-01-2016,379
W.Godavari,06-01-2016,350
Raipur,06-01-2016,371
Surat,06-01-2016,
Varanasi (CC),06-01-2016,390
Burdwan (CC),06-01-2016,
Kanpur (CC),06-01-2016,367
Vizag,06-01-2016,360
Brahmapur (OD),06-01-2016,
Ranchi (CC),06-01-2016,
Vijayawada,06-01-2016,350
Bengaluru (CC),06-01-2016,395
Barwala,06-01-2016,348
Asansole,06-01-2016,
Ahmedabad,06-01-2016,375
Chennai (CC),06-01-2016,420
Chittoor,06-01-2016,413
Delhi (CC),06-01-2016,354
E.Godavari,06-01-2016,350
Ajmer,06-01-2016,340
Ludhiana,06-01-2016,338
Midnapur (KOL),06-01-2016,
Mumbai (CC),06-01-2016,382
Muzaffurpur (CC),06-01-2016,
Mysuru,06-01-2016,412
Nagpur,06-01-2016,356
Namakkal,06-01-2016,390
Patna,06-01-2016,
Hyderabad,06-01-2016,347
Pune,06-01-2016,382
Ranchi (CC),07-01-2016,
Vijayawada,07-01-2016,411
Vizag,07-01-2016,416
W.Godavari,07-01-2016,411
Warangal,07-01-2016,416
Allahabad (CC),07-01-2016,423
Jabalpur,07-01-2016,427
Hospet,07-01-2016,415
Indore (CC),07-01-2016,415
Pune,07-01-2016,467
Kanpur (CC),07-01-2016,419
Kolkata (WB),07-01-2016,445
Luknow (CC),07-01-2016,440
Raipur,07-01-2016,420
Bhopal,07-01-2016,430
Patna,07-01-2016,
Mumbai (CC),07-01-2016,464
Nagpur,07-01-2016,421
Surat,07-01-2016,
Asansole,07-01-2016,
Barwala,07-01-2016,398
Bengaluru (CC),07-01-2016,450
Brahmapur (OD),07-01-2016,
Burdwan (CC),07-01-2016,
Namakkal,07-01-2016,435
Chennai (CC),07-01-2016,460
E.Godavari,07-01-2016,411
Hyderabad,07-01-2016,414
