market,arrival_date,price
Ahmedabad,2016-01-01,444
Ranchi (CC),2016-01-01,
Vijayawada,2016-01-01,407
Vizag,2016-01-01,415
W.Godavari,2016-01-01,407
Warangal,2016-01-01,408
Allahabad (CC),2016-01-01,428
Bhopal,2016-01-01,430
Hospet,2016-01-01,380
Indore (CC),2016-01-01,410
Jabalpur,2016-01-01,419
Kanpur (CC),2016-01-01,452
Kolkata (WB),2016-01-01,445
Luknow (CC),2016-01-01,457
Raipur,2016-01-01,425
Varanasi (CC),2016-01-01,453
Pune,2016-01-01,444
Patna,2016-01-01,
Surat,2016-01-01,
Nagpur,2016-01-01,406
Ajmer,2016-01-01,405
Asansole,2016-01-01,
Barwala,2016-01-01,408
Bengaluru (CC),2016-01-01,422
Brahmapur (OD),2016-01-01,
Namakkal,2016-01-01,402
Chennai (CC),2016-01-01,428
Chittoor,2016-01-01,421
Burdwan (CC),2016-01-01,
E.Godavari,2016-01-01,407
Hyderabad,2016-01-01,405
Ludhiana,2016-01-01,405
Midnapur (KOL),2016-01-01,
Mumbai (CC),2016-01-01,449
Muzaffurpur (CC),2016-01-01,
Mysuru,2016-01-01,422
Delhi (CC),2016-01-01,425
Mumbai (CC),2016-01-02,425
Midnapur (KOL),2016-01-02,
Ludhiana,2016-01-02,386
Hyderabad,2016-01-02,385
E.Godavari,2016-01-02,390
Delhi (CC),2016-01-02,405
Ajmer,2016-01-02,380
Chennai (CC),2016-01-02,425
Burdwan (CC),2016-01-02,
Brahmapur (OD),2016-01-02,
Bengaluru (CC),2016-01-02,410
Barwala,2016-01-02,388
Asansole,2016-01-02,
Muzaffurpur (CC),2016-01-02,
Chittoor,2016-01-02,418
Mysuru,2016-01-02,405
Warangal,2016-01-02,388
Namakkal,2016-01-02,400
Ahmedabad,2016-01-02,415
Luknow (CC),2016-01-02,457
Kolkata (WB),2016-01-02,427
Kanpur (CC),2016-01-02,424
Jabalpur,2016-01-02,403
Indore (CC),2016-01-02,400
Hospet,2016-01-02,380
Bhopal,2016-01-02,405
Allahabad (CC),2016-01-02,414
W.Godavari,2016-01-02,390
Vizag,2016-01-02,405
Vijayawada,2016-01-02,390
Ranchi (CC),2016-01-02,
Pune,2016-01-02,430
Patna,2016-01-02,
Nagpur,2016-01-02,390
Varanasi (CC),2016-01-02,440
Surat,2016-01-02,
Raipur,2016-01-02,418
Muzaffurpur (CC),2016-01-03,
Mumbai (CC),2016-01-03,335
Midnapur (KOL),2016-01-03,
Ludhiana,2016-01-03,293
Hyderabad,2016-01-03,300
E.Godavari,2016-01-03,300
Delhi (CC),2016-01-03,310
Surat,2016-01-03,
Burdwan (CC),2016-01-03,
Brahmapur (OD),2016-01-03,
Bengaluru (CC),2016-01-03,320
Barwala,2016-01-03,290
Asansole,2016-01-03,
Ajmer,2016-01-03,284
Ahmedabad,2016-01-03,325
Mysuru,2016-01-03,330
Chennai (CC),2016-01-03,335
Nagpur,2016-01-03,297
Patna,2016-01-03,
Raipur,2016-01-03,310
Luknow (CC),2016-01-03,350
Kolkata (WB),2016-01-03,335
Kanpur (CC),2016-01-03,333
Jabalpur,2016-01-03,305
Indore (CC),2016-01-03,325
Hospet,2016-01-03,285
Bhopal,2016-01-03,315
Allahabad (CC),2016-01-03,324
Warangal,2016-01-03,303
W.Godavari,2016-01-03,300
Vizag,2016-01-03,310
Vijayawada,2016-01-03,300
Ranchi (CC),2016-01-03,
Pune,2016-01-03,330
Varanasi (CC),2016-01-03,337
Namakkal,2016-01-03,320
Chittoor,2016-01-03,328
Varanasi (CC),2016-01-04,350
Warangal,2016-01-04,323
W.Godavari,2016-01-04,318
Vizag,2016-01-04,326
Vijayawada,2016-01-04,318
Ranchi (CC),2016-01-04,
Pune,2016-01-04,345
Patna,2016-01-04,
Namakkal,2016-01-04,350
Nagpur,2016-01-04,308
Mysuru,2016-01-04,355
Muzaffurpur (CC),2016-01-04,
Mumbai (CC),2016-01-04,350
Allahabad (CC),2016-01-04,328
Midnapur (KOL),2016-01-04,
Hyderabad,2016-01-04,320
E.Godavari,2016-01-04,318
Delhi (CC),2016-01-04,306
Chittoor,2016-01-04,348
Chennai (CC),2016-01-04,355
Burdwan (CC),2016-01-04,
Brahmapur (OD),2016-01-04,
Bengaluru (CC),2016-01-04,355
Barwala,2016-01-04,305
Asansole,2016-01-04,
Ajmer,2016-01-04,287
Ahmedabad,2016-01-04,335
Ludhiana,2016-01-04,293
Bhopal,2016-01-04,328
Surat,2016-01-04,
Raipur,2016-01-04,330
Luknow (CC),2016-01-04,350
Kolkata (WB),2016-01-04,358
Kanpur (CC),2016-01-04,348
Jabalpur,2016-01-04,327
Indore (CC),2016-01-04,315
Hospet,2016-01-04,320
Vijayawada,2016-01-05,285
Mysuru,2016-01-05,327
Nagpur,2016-01-05,300
Namakkal,2016-01-05,315
Patna,2016-01-05,
Pune,2016-01-05,325
Luknow (CC),2016-01-05,333
Surat,2016-01-05,
Raipur,2016-01-05,316
Ranchi (CC),2016-01-05,
Kolkata (WB),2016-01-05,310
Kanpur (CC),2016-01-05,333
Varanasi (CC),2016-01-05,333
Mumbai (CC),2016-01-05,331
E.Godavari,2016-01-05,285
Ludhiana,2016-01-05,271
Hyderabad,2016-01-05,296
Jabalpur,2016-01-05,308
Delhi (CC),2016-01-05,288
Chittoor,2016-01-05,323
Chennai (CC),2016-01-05,330
Burdwan (CC),2016-01-05,
Brahmapur (OD),2016-01-05,
Bengaluru (CC),2016-01-05,330
Barwala,2016-01-05,285
Asansole,2016-01-05,
Ajmer,2016-01-05,290
Ahmedabad,2016-01-05,336
Midnapur (KOL),2016-01-05,
Indore (CC),2016-01-05,300
Muzaffurpur (CC),2016-01-05,
Allahabad (CC),2016-01-05,314
Vizag,2016-01-05,292
W.Godavari,2016-01-05,285
Warangal,2016-01-05,299
Bhopal,2016-01-05,310
Hospet,2016-01-05,295
Warangal,2016-01-06,350
Allahabad (CC),2016-01-06,371
Bhopal,2016-01-06,365
Hospet,2016-01-06,360
Indore (CC),2016-01-06,342
Jabalpur,2016-01-06,366
Luknow (CC),2016-01-06,380
Kolkata (WB),2016-01-06,379
W.Godavari,2016-01-06,350
Raipur,2016-01-06,371
Surat,2016-01-06,
Varanasi (CC),2016-01-06,390
Burdwan (CC),2016-01-06,
Kanpur (CC),2016-01-06,367
Vizag,2016-01-06,360
Brahmapur (OD),2016-01-06,
Ranchi (CC),2016-01-06,
Vijayawada,2016-01-06,350
Bengaluru (CC),2016-01-06,395
Barwala,2016-01-06,348
Asansole,2016-01-06,
Ahmedabad,2016-01-06,375
Chennai (CC),2016-01-06,420
Chittoor,2016-01-06,413
Delhi (CC),2016-01-06,354
E.Godavari,2016-01-06,350
Ajmer,2016-01-06,340
Ludhiana,2016-01-06,338
Midnapur (KOL),2016-01-06,
Mumbai (CC),2016-01-06,382
Muzaffurpur (CC),2016-01-06,
Mysuru,2016-01-06,412
Nagpur,2016-01-06,356
Namakkal,2016-01-06,390
Patna,2016-01-06,
Hyderabad,2016-01-06,347
Pune,2016-01-06,382
Ranchi (CC),2016-01-07,
Vijayawada,2016-01-07,411
Vizag,2016-01-07,416
W.Godavari,2016-01-07,411
Warangal,2016-01-07,416
Allahabad (CC),2016-01-07,423
Jabalpur,2016-01-07,427
Hospet,2016-01-07,415
Indore (CC),2016-01-07,415
Pune,2016-01-07,467
Kanpur (CC),2016-01-07,419
Kolkata (WB),2016-01-07,445
Luknow (CC),2016-01-07,440
Raipur,2016-01-07,420
Bhopal,2016-01-07,430
Patna,2016-01-07,
Mumbai (CC),2016-01-07,464
Nagpur,2016-01-07,421
Surat,2016-01-07,
Asansole,2016-01-07,
Barwala,2016-01-07,398
Bengaluru (CC),2016-01-07,450
Brahmapur (OD),2016-01-07,
Burdwan (CC),2016-01-07,
Namakkal,2016-01-07,435
Chennai (CC),2016-01-07,460
E.Godavari,2016-01-07,411
Hyderabad,2016-01-07,414
Ludhiana,2016-01-07,383
Midnapur (KOL),2016-01-07,
Muzaffurpur (CC),2016-01-07,
Mysuru,2016-01-07,456
Chittoor,2016-01-07,453
Delhi (CC),2016-01-07,398
Varanasi (CC),2016-01-07,433
Ajmer,2016-01-07,395
Ahmedabad,2016-01-07,452
Luknow (CC),2016-01-08,450
Patna,2016-01-08,
Pune,2016-01-08,450
Ranchi (CC),2016-01-08,
Vijayawada,2016-01-08,407
Vizag,2016-01-08,416
W.Godavari,2016-01-08,407
Raipur,2016-01-08,410
Warangal,2016-01-08,400
Bhopal,2016-01-08,410
Hospet,2016-01-08,405
Indore (CC),2016-01-08,395
Jabalpur,2016-01-08,405
Kanpur (CC),2016-01-08,409
Kolkata (WB),2016-01-08,433
Namakkal,2016-01-08,435
Allahabad (CC),2016-01-08,405
Nagpur,2016-01-08,400
Muzaffurpur (CC),2016-01-08,
Ahmedabad,2016-01-08,450
Ajmer,2016-01-08,373
Asansole,2016-01-08,
Barwala,2016-01-08,380
Bengaluru (CC),2016-01-08,440
Brahmapur (OD),2016-01-08,
Burdwan (CC),2016-01-08,
Chennai (CC),2016-01-08,460
Chittoor,2016-01-08,453
Delhi (CC),2016-01-08,380
E.Godavari,2016-01-08,407
Hyderabad,2016-01-08,396
Ludhiana,2016-01-08,362
Midnapur (KOL),2016-01-08,
Mumbai (CC),2016-01-08,455
Mysuru,2016-01-08,456
Surat,2016-01-08,
Varanasi (CC),2016-01-08,417
Ahmedabad,2016-01-09,344
Patna,2016-01-09,
Pune,2016-01-09,332
Ranchi (CC),2016-01-09,
Vijayawada,2016-01-09,320
Vizag,2016-01-09,332
W.Godavari,2016-01-09,320
Warangal,2016-01-09,320
Allahabad (CC),2016-01-09,343
Bhopal,2016-01-09,335
Hospet,2016-01-09,300
Indore (CC),2016-01-09,335
Jabalpur,2016-01-09,337
Kanpur (CC),2016-01-09,367
Kolkata (WB),2016-01-09,355
Luknow (CC),2016-01-09,390
Namakkal,2016-01-09,340
Raipur,2016-01-09,330
Nagpur,2016-01-09,318
Varanasi (CC),2016-01-09,370
Ajmer,2016-01-09,335
Asansole,2016-01-09,
Barwala,2016-01-09,341
Bengaluru (CC),2016-01-09,335
Brahmapur (OD),2016-01-09,
Burdwan (CC),2016-01-09,
Chennai (CC),2016-01-09,360
Chittoor,2016-01-09,353
Delhi (CC),2016-01-09,345
E.Godavari,2016-01-09,320
Hyderabad,2016-01-09,318
Ludhiana,2016-01-09,331
Midnapur (KOL),2016-01-09,
Mumbai (CC),2016-01-09,355
Muzaffurpur (CC),2016-01-09,
Mysuru,2016-01-09,335
Surat,2016-01-09,
Varanasi (CC),2016-01-10,380
Surat,2016-01-10,
Muzaffurpur (CC),2016-01-10,
Mumbai (CC),2016-01-10,390
Midnapur (KOL),2016-01-10,
Ludhiana,2016-01-10,336
Hyderabad,2016-01-10,345
E.Godavari,2016-01-10,363
Chittoor,2016-01-10,358
Chennai (CC),2016-01-10,365
Burdwan (CC),2016-01-10,
Brahmapur (OD),2016-01-10,
Bengaluru (CC),2016-01-10,365
Barwala,2016-01-10,352
Asansole,2016-01-10,
Ajmer,2016-01-10,337
Ahmedabad,2016-01-10,385
Mysuru,2016-01-10,368
Nagpur,2016-01-10,340
Delhi (CC),2016-01-10,350
Patna,2016-01-10,
Namakkal,2016-01-10,350
Luknow (CC),2016-01-10,390
Kolkata (WB),2016-01-10,402
Kanpur (CC),2016-01-10,381
Jabalpur,2016-01-10,350
Indore (CC),2016-01-10,340
Hospet,2016-01-10,330
Bhopal,2016-01-10,355
Raipur,2016-01-10,350
Warangal,2016-01-10,346
W.Godavari,2016-01-10,363
Vizag,2016-01-10,372
Vijayawada,2016-01-10,363
Ranchi (CC),2016-01-10,
Pune,2016-01-10,385
Allahabad (CC),2016-01-10,357
Patna,2016-01-11,
Pune,2016-01-11,435
Ranchi (CC),2016-01-11,
Vijayawada,2016-01-11,395
Vizag,2016-01-11,393
W.Godavari,2016-01-11,395
Warangal,2016-01-11,394
Allahabad (CC),2016-01-11,419
Raipur,2016-01-11,418
Varanasi (CC),2016-01-11,440
Surat,2016-01-11,
Luknow (CC),2016-01-11,433
Kolkata (WB),2016-01-11,417
Kanpur (CC),2016-01-11,428
Jabalpur,2016-01-11,415
Bhopal,2016-01-11,420
Namakkal,2016-01-11,402
Ahmedabad,2016-01-11,432
Mysuru,2016-01-11,414
Hospet,2016-01-11,380
Ajmer,2016-01-11,395
Asansole,2016-01-11,
Barwala,2016-01-11,403
Bengaluru (CC),2016-01-11,415
Brahmapur (OD),2016-01-11,
Burdwan (CC),2016-01-11,
Nagpur,2016-01-11,402
Chennai (CC),2016-01-11,417
Delhi (CC),2016-01-11,412
E.Godavari,2016-01-11,395
Hyderabad,2016-01-11,391
